"id","YearOfBirth","US_State","Education","Sex","PoliticalParty","Ideology","Condition","StartDate_T1T2","EndDate_T1T2","Duration_Total_T1T2","StartDate_T3","EndDate_T3","Duration_Total_T3","Duration_Filler_T1T2","Duration_Consensus_T1T2","Duration_Inoculation_T1T2","Duration_Misinfo_T3","AttentionCheck1_T1T2","AttentionCheck2_T3","Belief.T1","HumanCausation.T1","PSC.T1","Worry.T1","SupportForAction.T1","Belief.T2","HumanCausation.T2","PSC.T2","Worry.T2","SupportForAction.T2","Belief.T3","HumanCausation.T3","PSC.T3","Worry.T3","SupportForAction.T3","Complete","Consensus","Misinfo","Inoculation","PSC_Diff_T2T1","PSC_Diff_T3T2","PSC_Diff_T3T1","Belief_Diff_T2T1","Belief_Diff_T3T2","Belief_Diff_T3T1","HumanCausation_Diff_T2T1","HumanCausation_Diff_T3T2","HumanCausation_Diff_T3T1","Worry_Diff_T2T1","Worry_Diff_T3T2","Worry_Diff_T3T1","SupportForAction_Diff_T2T1","SupportForAction_Diff_T3T2","SupportForAction_Diff_T3T1","Education_Category","Age","Age_Category","Ideology_Category"
1,1995,"Tennessee","4","Female","Other",3,"Balanced","2019-06-23 17:33:12","2019-06-23 17:35:46",154,NA,NA,NA,NA,6.665,NA,NA,"blue",NA,7,6,95,7,7,7,6,97,7,7,NA,NA,NA,NA,NA,0,1,0,0,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Undergraduate degree",24,"18-29","Liberal"
2,1981,"Maryland","2","Female","Democrat",1,"Consensus","2019-06-23 17:17:06","2019-06-23 17:19:38",151,"2019-06-30 12:17:32","2019-06-30 12:18:34",62,NA,6.514,NA,NA,"blue","magenta",7,7,93,7,7,7,7,97,7,7,7,7,96,7,7,1,1,0,0,4,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,"High school graduate",38,"30-49","Liberal"
3,1960,"Pennsylvania","3","Male","Independent",5,"Control","2019-06-23 17:58:01","2019-06-23 18:02:38",276,"2019-06-30 13:11:58","2019-06-30 13:13:49",110,33.819,NA,NA,NA,"blue","magenta",6,2,97,1,6,6,2,97,1,5,6,2,96,1,4,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-2,"Some college",59,"50+","Conservative"
4,1984,"Indiana","4","Male","Democrat",1,"Consensus","2019-06-23 17:39:23","2019-06-23 17:42:12",169,"2019-06-30 16:14:18","2019-06-30 16:15:14",56,NA,6.669,NA,NA,"blue","magenta",7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",35,"30-49","Liberal"
5,1987,"Washington","4","Male","Democrat",4,"Control","2019-06-23 17:55:09","2019-06-23 17:57:48",158,"2019-06-30 16:25:26","2019-06-30 16:27:15",108,16.776,NA,NA,NA,"blue","magenta",7,6,100,5,4,6,6,100,5,4,6,6,99,5,5,1,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,"Undergraduate degree",32,"30-49","Moderate"
6,1981,"Connecticut","4","Female","Independent",4,"Consensus","2019-06-23 17:21:25","2019-06-23 17:25:48",263,"2019-06-30 17:15:25","2019-06-30 17:16:52",86,NA,10.965,NA,NA,"blue","magenta",7,6,92,7,7,7,7,97,7,7,7,6,94,7,7,1,1,0,0,5,-3,2,0,0,0,1,-1,0,0,0,0,0,0,0,"Undergraduate degree",38,"30-49","Moderate"
7,1983,"Arizona","4","Male","Independent",7,"Control","2019-06-23 17:38:02","2019-06-23 17:39:47",105,"2019-06-30 15:01:18","2019-06-30 15:02:13",55,13.052,NA,NA,NA,"blue","magenta",1,1,97,1,1,1,1,97,1,1,1,1,97,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",36,"30-49","Conservative"
8,1991,"North Carolina","3","Female","Republican",5,"Control","2019-06-23 17:24:38","2019-06-23 17:30:20",341,"2019-06-30 12:53:21","2019-06-30 12:56:18",177,32.843,NA,NA,NA,"blue","magenta",4,3,85,1,5,4,3,85,1,5,4,3,85,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,"Some college",28,"18-29","Conservative"
9,1991,"Virginia","4","Male","Democrat",3,"Balanced","2019-06-23 17:36:14","2019-06-23 17:37:57",102,"2019-06-30 13:48:05","2019-06-30 13:49:35",90,NA,6.162,NA,26.123,"blue","magenta",7,6,92,6,7,7,6,97,6,7,7,6,80,6,7,1,1,1,0,5,-17,-12,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",28,"18-29","Liberal"
10,1987,"Illinois","3","Male","Other",5,"Inoculation","2019-06-23 16:43:15","2019-06-23 16:47:46",271,"2019-06-30 16:46:28","2019-06-30 16:48:48",139,NA,NA,83.526,50.088,"blue","magenta",5,5,80,4,5,6,6,97,6,6,6,5,97,4,6,1,1,1,1,17,0,17,1,0,1,1,-1,0,2,-2,0,1,0,1,"Some college",32,"30-49","Conservative"
11,1989,"California","3","Male","Independent",4,"Inoculation","2019-06-23 17:57:56","2019-06-23 18:09:26",690,"2019-06-30 14:07:02","2019-06-30 14:08:52",110,NA,NA,42.321,66.091,"blue","magenta",7,7,90,7,7,7,7,90,7,7,7,7,92,7,7,1,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",30,"30-49","Moderate"
12,1990,"Texas","3","Female","Democrat",2,"Control","2019-06-23 16:12:58","2019-06-23 16:15:49",170,"2019-06-30 17:03:18","2019-06-30 17:04:23",64,19.534,NA,NA,NA,"blue","magenta",7,6,83,7,7,7,6,85,7,7,7,6,81,7,7,1,0,0,0,2,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",29,"18-29","Liberal"
13,1987,"North Carolina","3","Male","Independent",4,"Balanced","2019-06-23 18:03:32","2019-06-23 18:05:32",119,"2019-06-30 15:59:24","2019-06-30 16:01:00",95,NA,6.819,NA,26.197,"blue","magenta",6,5,75,5,6,6,6,97,6,7,6,6,97,5,7,1,1,1,0,22,0,22,0,0,0,1,0,1,1,-1,0,1,0,1,"Some college",32,"30-49","Moderate"
14,1985,"Washington","3","Male","Independent",1,"Inoculation","2019-06-23 18:04:59","2019-06-23 18:14:27",567,"2019-06-30 14:54:05","2019-06-30 14:57:59",233,NA,NA,146.652,31.933,"blue","magenta",7,6,97,6,5,7,6,97,6,6,7,6,96,6,6,1,1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,"Some college",34,"30-49","Liberal"
